,date,newcases,high,low,varBid,bid
0,2020-02-15,null,,,,
1,2020-02-16,null,,,,
2,2020-02-17,null,4.328,4.3273,0.001,4.3279
3,2020-02-18,null,4.3564,4.3559,0.0007,4.3563
4,2020-02-19,null,4.3656,4.3653,0.0007,4.3655
5,2020-02-20,null,4.3939,4.3936,0.0006,4.3938
6,2020-02-21,null,4.4064,4.3717,-0.0036,4.3895
7,2020-02-22,null,,,,
8,2020-02-23,null,,,,
9,2020-02-24,null,4.3898,4.3883,-0.0012,4.3878
10,2020-02-25,null,4.3884,4.3883,0.0005,4.3878
11,2020-02-26,0,4.455,4.3883,0.0003,4.4502
12,2020-02-27,0,4.5008,4.4483,0.0002,4.4861
13,2020-02-28,0,4.5141,4.4645,-0.0126,4.4733
14,2020-02-29,1,,,,
15,2020-03-01,0,,,,
16,2020-03-02,0,4.4744,4.4744,0.0004,4.474
17,2020-03-03,0,4.5148,4.5148,0.0004,4.5144
18,2020-03-04,1,4.585,4.585,0.0003,4.5847
19,2020-03-05,5,4.6076,4.6076,0.0003,4.6073
20,2020-03-06,5,4.6711,4.6076,0.0199,4.6269
21,2020-03-07,6,,,,
22,2020-03-08,6,,,,
23,2020-03-09,0,4.7925,4.6272,0.093,4.7187
24,2020-03-10,9,4.7246,4.6348,-0.0797,4.6425
25,2020-03-11,18,4.8154,4.64,0.1725,4.814
26,2020-03-12,25,5.028,4.75,-0.0146,4.7985
27,2020-03-13,74,4.881,4.6452,0.0685,4.858
28,2020-03-14,0,,,,
29,2020-03-15,49,,,,
30,2020-03-16,34,5.068,4.8595,0.1386,4.9949
31,2020-03-17,112,5.0118,5.0073,0.0028,5.011
32,2020-03-18,183,5.252,5.0073,0.1018,5.1089
33,2020-03-19,111,5.213,5.069,-0.0149,5.0897
34,2020-03-20,330,5.0967,4.983,-0.0318,5.0627
35,2020-03-21,208,,,,
36,2020-03-22,368,,,,
37,2020-03-23,378,5.1422,5.0069,0.0769,5.1382
38,2020-03-24,323,5.1457,5.0412,-0.049,5.0938
39,2020-03-25,307,5.0366,5.0348,-0.0003,5.0345
40,2020-03-26,431,5.066,4.9739,-0.008,5.0255
41,2020-03-27,432,5.1279,5.0221,0.0798,5.1007
42,2020-03-28,487,,,,
43,2020-03-29,352,,,,
44,2020-03-30,374,5.1945,5.101,0.0941,5.1931
45,2020-03-31,1087,5.2143,5.169,0.0122,5.2045
