,location
0,Adelaide
1,NorfolkIsland
2,Tuggeranong
3,Ballarat
4,Albury
5,Watsonia
6,Penrith
7,MountGambier
8,Mildura
9,Darwin
10,Townsville
11,Walpole
12,Perth
13,Hobart
14,Launceston
15,Nuriootpa
16,Portland
17,SydneyAirport
18,Cairns
19,Nhil
20,MountGinini
21,Uluru
22,Williamtown
23,Bendigo
24,PerthAirport
25,Canberra
26,AliceSprings
27,Witchcliffe
28,NorahHead
29,WaggaWagga
30,Brisbane
31,Katherine
32,BadgerysCreek
33,PearceRAAF
34,Woomera
35,Albany
36,Cobar
37,GoldCoast
38,Melbourne
39,Newcastle
40,Wollongong
41,SalmonGums
42,Sale
43,Sydney
44,MelbourneAirport
45,CoffsHarbour
46,Moree
47,Dartmoor
48,Richmond
